冰茶央视,#genre#
七彩戏剧,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031116/1.m3u8
生活时尚,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000002000019634/1.m3u8
游戏风云,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031114/1.m3u8
游戏风云,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000002000027005/1.m3u8
华语影院,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000288005/1.m3u8
星光影院,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000288013/1.m3u8
全球大片,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000288009/1.m3u8
热门剧场,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000288010/1.m3u8
谍战剧场,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000288004/1.m3u8
青春动漫,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000288008/1.m3u8
宝宝动画,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000288002/1.m3u8
戏曲精选,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000288012/1.m3u8
热门综艺,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000288011/1.m3u8
健康养生,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000288006/1.m3u8
百变课堂,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000288001/1.m3u8
看天下精选,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000288007/1.m3u8
电竞天堂,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000288003/1.m3u8
湖南卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000004000006692/1.m3u8
湖南卫视,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000010000030452/1.m3u8
茶频道,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031209/1.m3u8
金鹰纪实,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031203/1.m3u8
快乐垂钓,http://[2409:8087:1e01:23::10]:8112/000000001000/5000000011000031206/1.m3u8

央视台,#genre#
CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV2,https://play.kankanlive.com/live/1698234898628961.m3u8
CCTV4,https://play.kankanlive.com/live/1698234936258960.m3u8
CCTV9,https://play.kankanlive.com/live/1698423397390920.m3u8
CCTV10,https://play.kankanlive.com/live/1698423445959919.m3u8
CCTV11,https://play.kankanlive.com/live/1698423476198918.m3u8
CCTV12,https://play.kankanlive.com/live/1698423511884917.m3u8
CCTV13,https://play.kankanlive.com/live/1698423543275916.m3u8
CCTV14,https://play.kankanlive.com/live/1698423575756915.m3u8
CCTV15,https://play.kankanlive.com/live/1698423607826914.m3u8
