河北联通-组播0922,#genre#
迁安电视,http://121.29.141.59:4022/rtp/239.253.93.113:6280
馆陶电视,http://121.29.141.59:4022/rtp/239.253.93.115:6282
乐亭电视,http://121.29.141.59:4022/rtp/239.253.93.250:6290
沙河电视,http://121.29.141.59:4022/rtp/239.253.93.179:6347
丰润电视,http://121.29.141.59:4022/rtp/239.253.92.252:6156
慢直播1,http://121.29.141.59:4022/rtp/239.253.94.1:6600
慢直播2,http://121.29.141.59:4022/rtp/239.253.94.2:6601
临时直播,http://121.29.141.59:4022/rtp/239.253.92.116:6029


网络0923,#genre#
CCTV1,http://36.129.204.120:65501/1001.m3u8
CCTV2,http://36.129.204.120:65501/1002.m3u8
CCTV2,http://36.129.204.120:65501/1002.m3u8
CCTV3,http://36.129.204.120:65501/1003.m3u8
CCTV4,http://36.129.204.120:65501/1004.m3u8
CCTV5+,http://36.129.204.120:65501/1017.m3u8
CCTV6,http://36.129.204.120:65501/1005.m3u8
CCTV7,http://36.129.204.120:65501/1006.m3u8
CCTV8,http://36.129.204.120:65501/1007.m3u8
CCTV9,http://36.129.204.120:65501/1008.m3u8
CCTV10,http://36.129.204.120:65501/1009.m3u8
CCTV11,http://36.129.204.120:65501/1010.m3u8
CCTV12,http://36.129.204.120:65501/1011.m3u8
CCTV13,http://36.129.204.120:65501/1012.m3u8
CCTV14,http://36.129.204.120:65501/1013.m3u8
CCTV15,http://36.129.204.120:65501/1014.m3u8
CCTV16,http://36.129.204.120:65501/1015.m3u8
CCTV17,http://36.129.204.120:65501/1016.m3u8
睛彩青少,http://36.129.204.120:65501/1072.m3u8
睛彩竞技,http://36.129.204.120:65501/1070.m3u8
睛彩蓝球,http://36.129.204.120:65501/1071.m3u8
睛彩广场舞,http://36.129.204.120:65501/1073.m3u8
乐游,http://36.129.204.120:65501/1099.m3u8
湖北卫视,http://36.129.204.120:65501/1032.m3u8
广西卫视,http://36.129.204.120:65501/1031.m3u8
新疆卫视,http://36.129.204.120:65501/1044.m3u8
宁夏卫视,http://36.129.204.120:65501/1042.m3u8
陕西卫视,http://36.129.204.120:65501/1041.m3u8
贵州卫视,http://36.129.204.120:65501/1040.m3u8
云南卫视,http://36.129.204.120:65501/1039.m3u8
夏门卫视,http://36.129.204.120:65501/1038.m3u8
东南卫视,http://36.129.204.120:65501/1037.m3u8
重庆卫视,http://36.129.204.120:65501/1036.m3u8
四川卫视,http://36.129.204.120:65501/1035.m3u8
河南卫视,http://36.129.204.120:65501/1034.m3u8
江西卫视,http://36.129.204.120:65501/1033.m3u8
湖北卫视,http://36.129.204.120:65501/1032.m3u8
山东教育,http://36.129.204.120:65501/1077.m3u8
辽宁卫视,http://36.129.204.120:65501/1018.m3u8
北京卫视,http://36.129.204.120:65501/1019.m3u8
天津卫视,http://36.129.204.120:65501/1020.m3u8
湖南卫视,http://36.129.204.120:65501/1021.m3u8
浙江卫视,http://36.129.204.120:65501/1022.m3u8
江苏卫视,http://36.129.204.120:65501/1023.m3u8
安徽卫视,http://36.129.204.120:65501/1024.m3u8
东方卫视,http://36.129.204.120:65501/1025.m3u8
吉林卫视,http://36.129.204.120:65501/1027.m3u8
山东卫视,http://36.129.204.120:65501/1028.m3u8
山西卫视,http://36.129.204.120:65501/1029.m3u8
辽宁移动,http://36.129.204.120:65501/1059.m3u8
兵团卫视,http://36.129.204.120:65501/1060.m3u8
华数影视,http://36.129.204.120:65501/1065.m3u8
都市剧场,http://36.129.204.120:65501/1064.m3u8
华数影视,http://36.129.204.120:65501/1068.m3u8
法治天地,http://36.129.204.120:65501/1063.m3u8
金色学堂,http://36.129.204.120:65501/1062.m3u8
天下足球,http://36.129.204.120:65501/1066.m3u8
金鹰卡通,http://36.129.204.120:65501/1078.m3u8
优漫卡通,http://36.129.204.120:65501/1080.m3u8
嘉佳卡通,http://36.129.204.120:65501/1081.m3u8
北京少儿,http://36.129.204.120:65501/1082.m3u8
金鹰纪实,http://36.129.204.120:65501/1083.m3u8
辽宁体育休闲,http://36.129.204.120:65501/1053.m3u8
内蒙古卫视,http://36.129.204.120:65501/1049.m3u8
黑龙江卫视,http://36.129.204.120:65501/1026.m3u8
